experiment_id,dataset,strategy,group,query_count,hard_negative_query_count,negative_bearing_query_count,gold_mapped_query_count,negative_mapped_query_count,margin_eligible_query_count,pairwise_comparison_count,pairwise_gold_win_count,negative_exposure_at_1,negative_exposure_at_3,negative_exposure_at_5,negative_exposure_at_10,gold_before_negative_rate_at_5,gold_before_negative_success_count_at_5,gold_before_negative_query_count_at_5,pairwise_gold_win_rate,average_gold_negative_score_margin,p50_gold_negative_score_margin,minimum_gold_negative_score_margin
20260728T092752Z-49193,current_dev,fixed,HARD_NEGATIVE,9.0,9.0,9.0,9.0,9.0,9.0,20.0,18.0,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7777777777777778,7.0,9.0,0.9,0.09901076555252075,0.09918969869613647,0.0
20260728T092752Z-49193,current_dev,fixed,NEGATIVE_BEARING,9.0,9.0,9.0,9.0,9.0,9.0,20.0,18.0,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7777777777777778,7.0,9.0,0.9,0.09901076555252075,0.09918969869613647,0.0
20260728T092752Z-49193,current_dev,structure,HARD_NEGATIVE,9.0,9.0,9.0,9.0,9.0,9.0,20.0,20.0,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,1.0,9.0,9.0,1.0,0.15038935343424478,0.14047425985336304,0.017664790153503418
20260728T092752Z-49193,current_dev,structure,NEGATIVE_BEARING,9.0,9.0,9.0,9.0,9.0,9.0,20.0,20.0,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,1.0,9.0,9.0,1.0,0.15038935343424478,0.14047425985336304,0.017664790153503418
20260728T092752Z-49193,current_dev,parent_child,HARD_NEGATIVE,9.0,9.0,9.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,4.0,9.0,1.0,0.17409679293632507,0.17409679293632507,0.10393863916397095
20260728T092752Z-49193,current_dev,parent_child,NEGATIVE_BEARING,9.0,9.0,9.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,4.0,9.0,1.0,0.17409679293632507,0.17409679293632507,0.10393863916397095
20260728T095847Z-52944,hard_query_dev,fixed,HARD_NEGATIVE,15.0,15.0,15.0,15.0,15.0,15.0,20.0,18.0,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.4,0.7333333333333333,11.0,15.0,0.9,0.1130497137705485,0.10955256223678589,-0.016149699687957764
20260728T095847Z-52944,hard_query_dev,fixed,NEGATIVE_BEARING,26.0,15.0,26.0,26.0,26.0,26.0,39.0,33.0,0.15384615384615385,0.15384615384615385,0.34615384615384615,0.4230769230769231,0.6538461538461539,17.0,26.0,0.8461538461538461,0.08677601585021386,0.08941306173801422,-0.07122418284416199
20260728T095847Z-52944,hard_query_dev,structure,HARD_NEGATIVE,15.0,15.0,15.0,15.0,15.0,15.0,20.0,19.0,0.0,0.06666666666666667,0.13333333333333333,0.2,0.7333333333333333,11.0,15.0,0.95,0.15534607370694478,0.16212120652198792,0.018404632806777954
20260728T095847Z-52944,hard_query_dev,structure,NEGATIVE_BEARING,26.0,15.0,26.0,26.0,26.0,26.0,39.0,34.0,0.0,0.11538461538461539,0.15384615384615385,0.3076923076923077,0.7692307692307693,20.0,26.0,0.8717948717948718,0.1298036391918476,0.11187063157558441,0.018404632806777954
20260728T095847Z-52944,hard_query_dev,parent_child,HARD_NEGATIVE,15.0,15.0,15.0,9.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.26666666666666666,4.0,15.0,1.0,0.20934508740901947,0.22200500965118408,0.0993390679359436
20260728T095847Z-52944,hard_query_dev,parent_child,NEGATIVE_BEARING,26.0,15.0,26.0,14.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0,0.038461538461538464,0.2692307692307692,7.0,26.0,1.0,0.18740848302841187,0.19392001628875732,0.0993390679359436
